from,to,weight,relation,source1,soure2
APAS,PwC,2,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
APAS,Deloitte,2,1,1,https://www.bundestag.de/ausschuesse/untersuchungsausschuesse/3untersuchungsausschuss#url=L2Rva3VtZW50ZS90ZXh0YXJjaGl2LzIwMjAva3c1MC1wYS11YS13aXJlY2FyZC04MTE5Nzg=&mod=mod796592
DMC,Wirecard,3,7,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
DMC,Financial Times,3,1,3,https://www.ft.com/dan-mccrum
MB,KPMG,2,1,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
MB,JM,3,4,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
SCH,Wirecard,3,2,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
FTI,Wirecard,3,2,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
ALDI,Wirecard,2,8,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
LIDL,Wirecard,2,8,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
SO,Wirecard,2,5,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
RO,Wirecard,1,6,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
JF,Wirecard,3,1,3,https://www.ft.com/content/284fb1ad-ddc0-45df-a075-0709b36868db
Wirecard,AS,3,5,2,https://www.wiso-net.de/dosearch?_searchOnlyInAbstractField=&_searchOnlyInTitleField=&explicitSearch=true&q=&dbShortcut=%3A3%3APRESSE&searchMask=7012&TI%2CUT%2CDZ%2CBT%2COT%2CSL=&KO=&MM%2COW%2CUF%2CMF%2CAO%2CTP%2CVM%2CNN%2CNJ%2CKV%2CZ2=&CO%2CC2%2CTA%2CKA%2CVA%2CZ1=&CT%2CZ4%2CKW=&BR%2CGW%2CN1%2CN2%2CNC%2CND%2CSC%2CWZ%2CZ5%2CAI%2CBC%2CKN%2CTN%2CVN%2CK0%2CB4%2CNW%2CVH=&Z3%2CCN%2CCE%2CKC%2CTC%2CVC=&SO%2CZK%2CZT=Handelsblatt&DT_from=&DT_to=&timeFilterType=selected&timeFilter=LAST_12_MONTHS&x=56&y=12#content
